question,answer

im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,if everyone thinks youre worthless then maybe you need to find new people to hang out withseriously the social context in which a person lives is a big influence in selfesteemotherwise you can go round and round trying to understand why youre not worthless then go back to the same crowd and be knocked down againthere are many inspirational messages you can find in social media  maybe read some of the ones which state that no person is worthless and that everyone has a good purpose to their lifealso since our culture is so saturated with the belief that if someone doesnt feel good about themselves that this is somehow terriblebad feelings are part of living  they are the motivation to remove ourselves from situations and relationships which do us more harm than goodbad feelings do feel terrible  your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,hello and thank you for your question and seeking advice on this feelings of worthlessness is unfortunately common in fact most people if not all have felt this to some degree at some point in their life you are not alone changing our feelings is like changing our thoughts  its hard to do our minds are so amazing that the minute you change your thought another one can be right there to take its place without your permission another thought can just pop in there the new thought may feel worse than the last one my guess is that you have tried several things to improve this on your own even before reaching out on here people often try thinking positive thoughts debating with their thoughts or simply telling themselves that they need to snap out of it  which is also a thought that carries some selfcriticism some people try a different approach and there are counselors out there that can help you with this the idea is that instead of trying to change the thoughts you change how you respond to them you learn skills that allow you to manage difficult thoughts and feelings differently so they dont have the same impact on you that they do right now for some people they actually do begin to experience less hurtful thoughts once they learn how to manage the ones they have differently acceptance and commitment therapy may be a good choice for you there is information online and even selfhelp books that you can use to teach you the skills that i mentioned because they are skills they require practice but many people have found great relief and an enriched life by learning them as for suicidal thoughts i am very glad to read that this has not happened to you still you should watch out for this because it can be a sign of a worsening depression if you begin to think about this it is important to reach out to a support system right away the national suicide prevention lifeline is 18002738255 the text line is 741741 i hope some other colleagues will provide you more suggestions be wellrobin landwehr dbh lpcc
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,first thing id suggest is getting the sleep you need or it will impact how you think and feel id look at finding what is going well in your life and what you can be grateful for i believe everyone has talents and wants to find their purpose in life i think you can figure it out with some help
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,therapy is essential for those that are feeling depressed and worthless when i work with those that are experiencing concerns related to feeling of depression and issues with self esteem i generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem by guiding my client with cbt practices cbt helps with gaining a better awareness of how your thought process influences your belief system and how your beliefs impact your actions and the outcome of your behaviors  this process isnt easy but it helps teach an individual that we dont always have control over what happens in our lives but we can control how we interpret feel and behave cbt is good for individuals dealing with depression anxiety toxic relationships stress self esteem codependency etc
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,i first want to let you know that you are not alone in your feelings and there is always someone there to help you can always change your feelings and change your way of thinking by being open to trying to change you can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,heck sure thing hunfeelings of depression have a deeplyrooted base in physical structures that may not be functioning very well at present and we can certainly turn them on again using means that you are able to find around the house and with relative ease after that emotional and spiritual support will be liberally applied
when is my birthday,my birthday is on 2nd march 2002
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,you are exhibiting some specific traits of a particular temperament type seek out a counselor who provides ncca temperament therapy and discover the joy of being you  god loves you as you are
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,that is intense depression is a liar sometimes depression places these glasses over our eyes these dark sunglasses that change how we see things depression tells us things like youre worthless no one likes you dont worry about doing anything and it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true please know that even if you are feeling worthless right now that doesnt mean you are worthlessthe first step to working through this is recognizing what is going on recognizing when depression is telling you the same story ie being worthless with different words ie worthless here worthless there and making an effort to talk back while i can not give you a diagnosis of depression reading what you are going through it sounds like you might need help to get back on track seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective this can do wonders in unwrapping these kinds of thoughts wishing you the absolute best
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,it sounds like you may be putting yourself last you wrote that you want to fix your issues but never get around to it i wonder how you are spending your mental and physical energy are you spending time taking care of and doing for others i also wonder where the thoughts and feelings of being worthless are coming from  are you around people who treat you poorly or are hurtful or do you feel it is more of a worry you have but arent really sure how others feel it may be helpful to talk to someone about your feelings  a counselor perhaps  to clarify your feelings and move forward from se that are hurting you
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,it must be really difficult to experience what your going through right now  it takes a lot of courage to reach out it sounds like you want to get better but perhaps need some help to get over the hump  many of the symptoms you have described are consistent with a person who is dealing with depression  depression is a treatable condition  typically if these symptoms have persisted for more than two weeks then it is a good idea to seek professional help  someone who is trained in dealing with depression  initially a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern  then in collaboration with one another a tailored treatment plan would be developed focusing on how to best help you reach your goals  the good news is that their is hope for getting better you dont have to do it alone  allow me to be your ally in healing
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,people who feel worthless were in one way or another were told that they are worthless this is the lie that they are living with the work of therapy is to help people see their true good selves this gives them self esteem
